City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,san antonio de pale,-1.4014,5.6325,26.29,83,24,5.06,GQ,1699214907
202,fort morgan,40.2503,-103.8,23.68,21,100,3.09,US,1699214907
203,pisco,-13.7,-76.2167,23.03,64,0,9.77,PE,1699214907
204,boa vista,2.8197,-60.6733,32.99,52,40,4.63,BR,1699214875
205,geraldton,-28.7667,114.6,20.23,73,100,3.09,AU,1699214645
206,kapuskasing,49.4169,-82.4331,-2.25,49,100,1.01,CA,1699214908
207,quatre cocos,-20.2078,57.7625,22.83,80,53,4.16,MU,1699214908
208,utrik,11.2278,169.8474,27.97,78,25,10.08,MH,1699214908
209,sinop,41.7711,34.8709,17.56,52,100,3.89,TR,1699214908
210,mount pearl,47.5166,-52.7813,8.86,97,100,3.6,CA,1699214908
211,freetown,8.484,-13.2299,26.55,84,87,2.57,SL,1699214908
212,ca mau,9.1769,105.15,24.91,93,25,1.95,VN,1699214909
213,haiku-pauwela,20.9219,-156.3051,28.01,51,20,9.77,US,1699214909
214,ahus,55.9167,14.2833,9.64,97,100,1.03,SE,1699214909
215,zaozersk,69.4005,32.4476,-0.16,99,100,4.77,RU,1699214909
216,tarfaya,27.9358,-12.9218,21.85,83,71,5.97,MA,1699214909
217,badger,64.8,-147.5333,-5.86,75,100,3.09,US,1699214909
218,baiyin,36.5583,104.2081,-0.22,56,0,2.24,CN,1699214910
219,tromso,69.6496,18.957,-0.99,80,0,1.54,NO,1699214910
220,majene,-3.5403,118.9707,26.69,83,57,2.26,ID,1699214910
221,miracema do tocantins,-9.5618,-48.3967,32.56,49,100,2.06,BR,1699214910
222,alaghsas,17.0187,8.0168,28.47,13,0,4.27,NE,1699214910
223,vadso,70.0744,29.7487,0.09,93,75,7.72,NO,1699214911
224,port blair,11.6667,92.75,27.45,81,99,2.92,IN,1699214911
225,arraial do cabo,-22.9661,-42.0278,23.92,64,0,10.29,BR,1699214911
226,kilimatinde,-5.85,34.95,23.03,57,67,2.37,TZ,1699214911
227,sibu,2.3,111.8167,23.79,98,99,0.68,MY,1699214911
228,hadibu,12.65,54.0333,26.6,79,46,2.92,YE,1699214911
229,port shepstone,-30.7414,30.455,20.38,91,100,2.8,ZA,1699214912
230,black point,-34.6187,137.8972,13.99,77,23,3.83,AU,1699214912
231,alesund,62.4723,6.1549,8.08,64,40,4.12,NO,1699214912
232,broome,42.2506,-75.833,10.25,71,100,5.14,US,1699214912
233,college,64.8569,-147.8028,-5.82,73,100,3.09,US,1699214913
234,kittila,67.6647,24.8936,-0.77,100,100,1.03,FI,1699214913
